ds,yhat,yhat_lower,yhat_upper
2014-01-03,1548.287992446285,-1198.6700704148507,4383.314461923456
2014-01-04,1053.0685594809406,-1607.5596752301697,3569.9332860849427
2014-01-05,1144.803640700883,-1646.837176204063,3906.943918503117
2014-01-06,1270.094552075634,-1629.1634921922077,3774.5437578718647
2014-01-07,612.5913818987004,-2313.6761304923307,3395.500991612228
2014-01-09,822.7233586793211,-1864.5839586157488,3631.9047412767814
2014-01-10,1043.4921932386553,-1731.0365626670844,3760.5520278782574
2014-01-11,613.4539233652413,-2163.436573654523,3195.9909285670847
2014-01-13,973.1502834567391,-1813.0595479587562,3551.333035914079
2014-01-14,390.2112116034905,-2362.3701996755444,3233.72517884758
2014-01-15,-467.72308515017767,-3193.5974259582654,2314.336471195347
2014-01-16,748.1845058915849,-2263.939251285293,3543.2632433635117
2014-01-18,674.7120500062096,-2305.585834266796,3319.751103142801
2014-01-19,895.9315482903337,-2000.367371629847,3613.914809870169
2014-01-20,1146.681811128238,-1617.8052408970393,3827.257535188843
2014-01-21,607.9991882899067,-2147.972378736601,3611.957132871355
2014-01-23,1026.1426156491773,-1640.5010415421805,3676.712894567784
2014-01-26,1186.1578900385632,-1553.938384659555,3994.189394668874
2014-01-27,1420.0110855248915,-1438.3028651538095,3977.660704261315
2014-01-28,854.589716516995,-1820.0771568104599,3678.9693004451797
2014-01-30,1192.9702818964204,-1362.667002846783,4210.321981310722
2014-01-31,1447.749686878906,-1158.588782515896,4189.203819465784
2014-02-01,1030.9870222961176,-1484.6809815106235,3827.6527123636774
2014-02-02,1185.133956953095,-1614.1783031462426,3742.9451626052996
2014-02-03,1355.9765541454615,-1413.0836359754294,4140.190685805627
2014-02-04,726.7447920923845,-1921.8050589000495,3569.294586758147
2014-02-06,941.9402250871547,-1601.1416874528813,3615.2702765365493
2014-02-07,1140.7030807712172,-1514.7986197466764,4032.531969293602
2014-02-08,673.7605892039148,-2018.4885605348627,3423.1445930934287
2014-02-11,267.5950930503782,-2304.9358147897556,3042.185634826762
2014-02-12,-668.1759266812837,-3530.7727126030563,1920.5868044992476
2014-02-14,672.9491444055565,-2206.5794285632874,3614.897746854328
2014-02-15,226.20757885268654,-2479.600805302047,2977.4260209173876
2014-02-16,369.15266537650655,-2459.4024935605903,2957.857288015158
2014-02-17,548.4296769015627,-2228.590264565312,3398.454981964175
2014-02-18,-52.32150314253249,-2754.5427307425557,2758.9869752343784
2014-02-20,279.30626802937513,-2568.345295856883,3103.8808226921255
2014-02-21,564.5413675150874,-2203.7261934336416,3464.852020927126
2014-02-22,201.1884155659518,-2546.8588232828874,2983.6940503873147
2014-02-23,431.3420475173118,-2326.211176042479,3130.8540587941243
2014-02-24,699.9097810917556,-2060.7161196085344,3373.542526320621
2014-02-27,693.1934835366582,-2127.966644252465,3290.1339977731836
2014-03-01,767.962050030021,-1780.1629159084039,3716.798059083857
2014-03-02,1063.1624020155898,-1584.1119038559073,3668.2671657029928
2014-03-03,1387.3965807935401,-1474.943883426096,4123.711154456659
2014-03-04,921.4196015312691,-1745.7132806636228,3636.4268484966406
2014-03-05,170.1974705743246,-2624.5232367431536,3002.2513494196637
2014-03-07,1856.1606873061594,-885.8053962559228,4664.069263709692
2014-03-10,2140.220676850885,-590.3133714977266,4784.9617586878285
2014-03-11,1635.9206890423857,-1261.376260952136,4441.225448636467
2014-03-14,2397.9031307796267,-333.6063769224645,5054.627859924354
2014-03-15,2032.0672239025807,-852.5162733618823,4656.874986486843
2014-03-16,2234.189968056843,-571.0902387635347,5089.014814018869
2014-03-17,2449.864569543781,-317.44939407056864,5287.894411599831
2014-03-18,1862.1049504562125,-1003.1918119828659,4586.168423710675
2014-03-19,978.3609483814109,-1771.1928100436712,3626.607944325965
2014-03-21,2377.7655258701934,-310.3638618738705,4982.616602739873
2014-03-22,1936.1662107717407,-834.624930307556,4715.875597776772
2014-03-23,2067.922076380675,-735.9650642655548,4784.252799876713
2014-03-24,2219.739471885078,-355.1527162137025,5015.95577653026
2014-03-25,1575.5659636238265,-1060.6167693625466,4392.981604029713
2014-03-26,643.589077292728,-1921.7787391216732,3366.2314552368507
2014-03-28,1972.9791371482247,-760.9208497169394,4464.742165460301
2014-03-29,1510.01827661572,-1178.8596084706817,4283.3173241360255
2014-03-30,1629.4376428590626,-917.6632152389476,4137.146894693817
2014-03-31,1777.6372647810765,-868.2784784945732,4362.756214715358
2014-04-01,1138.0727764915564,-1589.9342549844998,4018.9227563445597
2014-04-02,218.27264682298528,-2483.989602737351,2936.2614830968364
2014-04-03,1368.500979389994,-1249.8438574567115,4203.302083450116
2014-04-04,1591.3834528257119,-1161.7262830930197,4525.847577801807
2014-04-05,1158.0264815495566,-1683.8140890700852,3840.4022250493013
2014-04-06,1310.793724323333,-1475.3134899746947,3987.975081296557
2014-04-07,1494.9719804054428,-1335.774593434283,4174.2452757829815
2014-04-08,892.8997667078386,-1695.327978368099,3546.311549485324
2014-04-11,1457.1358379527524,-1192.2759603812522,4111.664744034189
2014-04-12,1057.0526325074518,-1739.073627182058,3812.931900537081
2014-04-13,1239.9087447292432,-1600.921389557455,3773.4120091978366
